Shift,Serial,OpenMP,OpenCL
159,-10610.927,-10610.927,-10610.930
160,-10267.422,-10267.422,-10267.424
161, -4675.121, -4675.121, -4675.115
162, -2385.878, -2385.878, -2385.878
163,  3168.536,  3168.536,  3168.534
164,  2149.125,  2149.125,  2149.125
165,  5635.651,  5635.651,  5635.653
166, 10979.308, 10979.308, 10979.301
167, 14767.573, 14767.573, 14767.569
168,  7226.927,  7226.927,  7226.926
169, 14871.171, 14871.171, 14871.165
170,  8183.061,  8183.061,  8183.059
171, 19609.377, 19609.377, 19609.381
172, 18819.867, 18819.867, 18819.857
173, 19787.352, 19787.352, 19787.354
174, 18930.896, 18930.896, 18930.896
175, 21981.934, 21981.934, 21981.939
176, 23160.334, 23160.334, 23160.340
177, 34171.387, 34171.387, 34171.379
178, 23794.102, 23794.102, 23794.107
179, 19260.715, 19260.715, 19260.715
180, 29954.832, 29954.832, 29954.840
181, 32724.391, 32724.391, 32724.379
182, 26273.924, 26273.924, 26273.914
183, 31810.590, 31810.590, 31810.592
184, 42675.242, 42675.242, 42675.238
185, 29118.078, 29118.078, 29118.074
186, 25288.330, 25288.330, 25288.338
187, 37004.469, 37004.469, 37004.473
188, 44856.578, 44856.578, 44856.578
189, 40176.934, 40176.934, 40176.941
190, 43398.438, 43398.438, 43398.445
191, 47673.105, 47673.105, 47673.113
192, 54446.871, 54446.871, 54446.867
193, 46278.008, 46278.008, 46278.004
194, 49043.293, 49043.293, 49043.293
195, 56294.219, 56294.219, 56294.219
196, 58932.055, 58932.055, 58932.051
197, 54608.238, 54608.238, 54608.250
198, 52655.473, 52655.473, 52655.457
199, 60336.082, 60336.082, 60336.078
200, 47618.086, 47618.086, 47618.086
201, 53655.152, 53655.152, 53655.156
202, 54660.000, 54660.000, 54660.000
203, 53922.621, 53922.621, 53922.621
204, 60972.566, 60972.566, 60972.574
205, 61652.715, 61652.715, 61652.734
206, 58885.488, 58885.488, 58885.500
207, 55907.367, 55907.367, 55907.359
208, 57471.719, 57471.719, 57471.715
209, 51890.426, 51890.426, 51890.434
210, 64270.266, 64270.266, 64270.281
211, 72292.898, 72292.898, 72292.906
212, 60496.012, 60496.012, 60496.012
213, 61602.332, 61602.332, 61602.344
214, 58203.297, 58203.297, 58203.289
215, 57865.434, 57865.434, 57865.430
216, 66377.297, 66377.297, 66377.305
217, 59253.898, 59253.898, 59253.906
218, 63996.945, 63996.945, 63996.938
219, 62672.848, 62672.848, 62672.848
220, 57956.863, 57956.863, 57956.863
221, 58896.004, 58896.004, 58895.996
222, 63026.730, 63026.730, 63026.734
223, 67041.688, 67041.688, 67041.672
224, 54651.004, 54651.004, 54651.004
225, 61101.004, 61101.004, 61100.996
226, 63760.102, 63760.102, 63760.086
227, 65798.117, 65798.117, 65798.109
228, 56985.281, 56985.281, 56985.277
229, 62332.617, 62332.617, 62332.625
230, 51295.184, 51295.184, 51295.180
231, 58206.898, 58206.898, 58206.887
232, 54960.734, 54960.734, 54960.734
233, 53004.668, 53004.668, 53004.660
234, 44976.613, 44976.613, 44976.609
235, 53701.145, 53701.145, 53701.152
236, 48998.098, 48998.098, 48998.098
237, 43633.258, 43633.258, 43633.258
238, 48177.211, 48177.211, 48177.211
239, 41336.324, 41336.324, 41336.328
240, 50242.879, 50242.879, 50242.871
241, 38610.754, 38610.754, 38610.742
242, 44807.930, 44807.930, 44807.930
243, 44586.430, 44586.430, 44586.434
244, 45509.555, 45509.555, 45509.555
245, 42944.309, 42944.309, 42944.309
246, 43903.887, 43903.887, 43903.883
247, 42871.000, 42871.000, 42870.996
248, 35322.980, 35322.980, 35322.980
249, 36393.547, 36393.547, 36393.535
250, 27791.209, 27791.209, 27791.209
251, 28859.580, 28859.580, 28859.572
252, 16264.626, 16264.626, 16264.634
253, 22110.139, 22110.139, 22110.145
254, 31025.049, 31025.049, 31025.057
255, 26876.684, 26876.684, 26876.688
256, 22411.551, 22411.551, 22411.553
257, 22982.369, 22982.369, 22982.379
258,  7546.003,  7546.003,  7546.007
259, 14096.115, 14096.115, 14096.122
260, 14924.034, 14924.034, 14924.035
261, 13150.797, 13150.797, 13150.795
262, 18505.371, 18505.371, 18505.371
263, 17056.771, 17056.771, 17056.775
264, 13012.721, 13012.721, 13012.718
265,  1426.494,  1426.494,  1426.498
266,  1597.239,  1597.239,  1597.235
267,   742.156,   742.156,   742.158
268,  5387.393,  5387.393,  5387.390
269,  6618.889,  6618.889,  6618.891
270, -8803.581, -8803.581, -8803.588
271, -4525.659, -4525.659, -4525.660
272, -6399.774, -6399.774, -6399.773
273,  2162.833,  2162.833,  2162.838
274, -3805.872, -3805.872, -3805.869
275, -8148.518, -8148.518, -8148.518
276, -7133.979, -7133.979, -7133.980
277, -5649.052, -5649.052, -5649.055
278,-10966.744,-10966.744,-10966.736
279,-24148.514,-24148.514,-24148.514
280,-27785.383,-27785.383,-27785.381
281,-15369.567,-15369.567,-15369.562
282,-20488.752,-20488.752,-20488.754
283,-20540.068,-20540.068,-20540.076
284,-29086.461,-29086.461,-29086.457
285,-23453.012,-23453.012,-23453.018
286,-23498.709,-23498.709,-23498.711
287,-26399.811,-26399.811,-26399.811
288,-21386.027,-21386.027,-21386.037
289,-40529.473,-40529.473,-40529.484
290,-33203.859,-33203.859,-33203.855
291,-31438.650,-31438.650,-31438.641
292,-31854.256,-31854.256,-31854.256
293,-38365.758,-38365.758,-38365.758
294,-37496.113,-37496.113,-37496.129
295,-38372.898,-38372.898,-38372.898
296,-47440.789,-47440.789,-47440.789
297,-34003.859,-34003.859,-34003.867
298,-38368.906,-38368.906,-38368.914
299,-52490.121,-52490.121,-52490.121
300,-38654.199,-38654.199,-38654.199
301,-55324.691,-55324.691,-55324.688
302,-54117.352,-54117.352,-54117.363
303,-45587.848,-45587.848,-45587.852
304,-51095.727,-51095.727,-51095.723
305,-54086.113,-54086.113,-54086.113
306,-41348.797,-41348.797,-41348.785
307,-55937.734,-55937.734,-55937.738
308,-50944.895,-50944.895,-50944.875
309,-61723.750,-61723.750,-61723.750
310,-50600.586,-50600.586,-50600.586
311,-53230.934,-53230.934,-53230.938
312,-55634.789,-55634.789,-55634.789
313,-55846.527,-55846.527,-55846.516
314,-73190.203,-73190.203,-73190.195
315,-59504.418,-59504.418,-59504.406
316,-71347.625,-71347.625,-71347.625
317,-52991.883,-52991.883,-52991.891
318,-63681.027,-63681.027,-63681.027
319,-54895.461,-54895.461,-54895.465
320,-51697.105,-51697.105,-51697.098
321,-60195.082,-60195.082,-60195.090
322,-64592.637,-64592.637,-64592.637
323,-66194.852,-66194.852,-66194.844
324,-58887.789,-58887.789,-58887.785
325,-68708.383,-68708.383,-68708.375
326,-57187.090,-57187.090,-57187.082
327,-60614.551,-60614.551,-60614.559
328,-60443.266,-60443.266,-60443.262
329,-62311.961,-62311.961,-62311.957
330,-62396.617,-62396.617,-62396.617
331,-60009.707,-60009.707,-60009.703
332,-56077.305,-56077.305,-56077.301
333,-50669.090,-50669.090,-50669.078
334,-56312.605,-56312.605,-56312.594
335,-60669.867,-60669.867,-60669.863
336,-53610.875,-53610.875,-53610.875
337,-52355.801,-52355.801,-52355.801
338,-58132.762,-58132.762,-58132.758
339,-50641.301,-50641.301,-50641.301
340,-55894.188,-55894.188,-55894.184
341,-54784.871,-54784.871,-54784.867
342,-57650.367,-57650.367,-57650.367
343,-57684.363,-57684.363,-57684.367
344,-50313.727,-50313.727,-50313.730
345,-51842.191,-51842.191,-51842.184
346,-42474.020,-42474.020,-42474.016
347,-49145.020,-49145.020,-49145.016
348,-39604.699,-39604.699,-39604.703
349,-43581.473,-43581.473,-43581.469
350,-42683.520,-42683.520,-42683.523
351,-42845.602,-42845.602,-42845.598
352,-40302.926,-40302.926,-40302.922
353,-39476.590,-39476.590,-39476.586
354,-39001.129,-39001.129,-39001.113
355,-31110.873,-31110.873,-31110.877
356,-37562.066,-37562.066,-37562.070
357,-34166.812,-34166.812,-34166.812
358,-27200.943,-27200.943,-27200.953
359,-35182.035,-35182.035,-35182.043
360,-14576.163,-14576.163,-14576.157
361,-25242.689,-25242.689,-25242.689
362,-24715.037,-24715.037,-24715.041
363,-24674.055,-24674.055,-24674.055
364,-10146.928,-10146.928,-10146.937
365,-25873.525,-25873.525,-25873.523
366,-19353.758,-19353.758,-19353.750
367,-21107.586,-21107.586,-21107.590
368,-11271.677,-11271.677,-11271.671
