Shift,Serial,OpenMP,SIMD
159,-10610.927,-10610.927,-10610.935
160,-10267.422,-10267.422,-10267.443
161, -4675.121, -4675.121, -4675.095
162, -2385.878, -2385.878, -2385.873
163,  3168.536,  3168.536,  3168.557
164,  2149.125,  2149.125,  2149.112
165,  5635.651,  5635.651,  5635.665
166, 10979.308, 10979.308, 10979.311
167, 14767.573, 14767.573, 14767.676
168,  7226.927,  7226.927,  7226.920
169, 14871.171, 14871.171, 14871.146
170,  8183.061,  8183.061,  8183.073
171, 19609.377, 19609.377, 19609.270
172, 18819.867, 18819.867, 18819.945
173, 19787.352, 19787.352, 19787.346
174, 18930.896, 18930.896, 18930.814
175, 21981.934, 21981.934, 21981.986
176, 23160.334, 23160.334, 23160.459
177, 34171.387, 34171.387, 34171.398
178, 23794.102, 23794.102, 23794.094
179, 19260.715, 19260.715, 19260.686
180, 29954.832, 29954.832, 29954.842
181, 32724.391, 32724.391, 32724.373
182, 26273.924, 26273.924, 26273.906
183, 31810.590, 31810.590, 31810.539
184, 42675.242, 42675.242, 42675.355
185, 29118.078, 29118.078, 29117.953
186, 25288.330, 25288.330, 25288.354
187, 37004.469, 37004.469, 37004.398
188, 44856.578, 44856.578, 44856.387
189, 40176.934, 40176.934, 40176.980
190, 43398.438, 43398.438, 43398.375
191, 47673.105, 47673.105, 47673.273
192, 54446.871, 54446.871, 54446.840
193, 46278.008, 46278.008, 46277.824
194, 49043.293, 49043.293, 49043.410
195, 56294.219, 56294.219, 56294.242
196, 58932.055, 58932.055, 58932.246
197, 54608.238, 54608.238, 54608.211
198, 52655.473, 52655.473, 52655.246
199, 60336.082, 60336.082, 60336.164
200, 47618.086, 47618.086, 47617.895
201, 53655.152, 53655.152, 53655.297
202, 54660.000, 54660.000, 54660.078
203, 53922.621, 53922.621, 53922.598
204, 60972.566, 60972.566, 60972.574
205, 61652.715, 61652.715, 61652.867
206, 58885.488, 58885.488, 58885.734
207, 55907.367, 55907.367, 55907.703
208, 57471.719, 57471.719, 57471.641
209, 51890.426, 51890.426, 51890.527
210, 64270.266, 64270.266, 64270.484
211, 72292.898, 72292.898, 72292.836
212, 60496.012, 60496.012, 60496.191
213, 61602.332, 61602.332, 61602.312
214, 58203.297, 58203.297, 58203.297
215, 57865.434, 57865.434, 57865.453
216, 66377.297, 66377.297, 66377.594
217, 59253.898, 59253.898, 59254.105
218, 63996.945, 63996.945, 63997.000
219, 62672.848, 62672.848, 62672.531
220, 57956.863, 57956.863, 57957.031
221, 58896.004, 58896.004, 58896.152
222, 63026.730, 63026.730, 63026.812
223, 67041.688, 67041.688, 67041.914
224, 54651.004, 54651.004, 54651.082
225, 61101.004, 61101.004, 61100.684
226, 63760.102, 63760.102, 63760.121
227, 65798.117, 65798.117, 65798.102
228, 56985.281, 56985.281, 56985.340
229, 62332.617, 62332.617, 62332.562
230, 51295.184, 51295.184, 51295.215
231, 58206.898, 58206.898, 58207.117
232, 54960.734, 54960.734, 54960.492
233, 53004.668, 53004.668, 53004.586
234, 44976.613, 44976.613, 44976.555
235, 53701.145, 53701.145, 53701.348
236, 48998.098, 48998.098, 48998.223
237, 43633.258, 43633.258, 43633.277
238, 48177.211, 48177.211, 48177.230
239, 41336.324, 41336.324, 41335.977
240, 50242.879, 50242.879, 50243.004
241, 38610.754, 38610.754, 38610.875
242, 44807.930, 44807.930, 44807.852
243, 44586.430, 44586.430, 44586.461
244, 45509.555, 45509.555, 45509.457
245, 42944.309, 42944.309, 42944.391
246, 43903.887, 43903.887, 43903.934
247, 42871.000, 42871.000, 42870.871
248, 35322.980, 35322.980, 35322.934
249, 36393.547, 36393.547, 36393.434
250, 27791.209, 27791.209, 27791.141
251, 28859.580, 28859.580, 28859.574
252, 16264.626, 16264.626, 16264.714
253, 22110.139, 22110.139, 22110.092
254, 31025.049, 31025.049, 31025.010
255, 26876.684, 26876.684, 26876.779
256, 22411.551, 22411.551, 22411.566
257, 22982.369, 22982.369, 22982.387
258,  7546.003,  7546.003,  7545.993
259, 14096.115, 14096.115, 14096.094
260, 14924.034, 14924.034, 14924.119
261, 13150.797, 13150.797, 13150.880
262, 18505.371, 18505.371, 18505.500
263, 17056.771, 17056.771, 17056.711
264, 13012.721, 13012.721, 13012.629
265,  1426.494,  1426.494,  1426.500
266,  1597.239,  1597.239,  1597.227
267,   742.156,   742.156,   742.169
268,  5387.393,  5387.393,  5387.369
269,  6618.889,  6618.889,  6618.885
270, -8803.581, -8803.581, -8803.546
271, -4525.659, -4525.659, -4525.659
272, -6399.774, -6399.774, -6399.756
273,  2162.833,  2162.833,  2162.826
274, -3805.872, -3805.872, -3805.854
275, -8148.518, -8148.518, -8148.528
276, -7133.979, -7133.979, -7133.982
277, -5649.052, -5649.052, -5649.055
278,-10966.744,-10966.744,-10966.744
279,-24148.514,-24148.514,-24148.537
280,-27785.383,-27785.383,-27785.480
281,-15369.567,-15369.567,-15369.664
282,-20488.752,-20488.752,-20488.799
283,-20540.068,-20540.068,-20540.074
284,-29086.461,-29086.461,-29086.434
285,-23453.012,-23453.012,-23452.982
286,-23498.709,-23498.709,-23498.674
287,-26399.811,-26399.811,-26399.742
288,-21386.027,-21386.027,-21385.980
289,-40529.473,-40529.473,-40529.586
290,-33203.859,-33203.859,-33203.934
291,-31438.650,-31438.650,-31438.805
292,-31854.256,-31854.256,-31854.186
293,-38365.758,-38365.758,-38365.691
294,-37496.113,-37496.113,-37495.980
295,-38372.898,-38372.898,-38372.984
296,-47440.789,-47440.789,-47440.824
297,-34003.859,-34003.859,-34003.848
298,-38368.906,-38368.906,-38368.891
299,-52490.121,-52490.121,-52490.105
300,-38654.199,-38654.199,-38654.215
301,-55324.691,-55324.691,-55324.867
302,-54117.352,-54117.352,-54117.414
303,-45587.848,-45587.848,-45588.148
304,-51095.727,-51095.727,-51095.793
305,-54086.113,-54086.113,-54085.852
306,-41348.797,-41348.797,-41348.820
307,-55937.734,-55937.734,-55937.902
308,-50944.895,-50944.895,-50944.914
309,-61723.750,-61723.750,-61724.004
310,-50600.586,-50600.586,-50600.875
311,-53230.934,-53230.934,-53230.914
312,-55634.789,-55634.789,-55634.883
313,-55846.527,-55846.527,-55846.730
314,-73190.203,-73190.203,-73190.227
315,-59504.418,-59504.418,-59504.207
316,-71347.625,-71347.625,-71347.414
317,-52991.883,-52991.883,-52991.797
318,-63681.027,-63681.027,-63681.219
319,-54895.461,-54895.461,-54895.277
320,-51697.105,-51697.105,-51696.965
321,-60195.082,-60195.082,-60195.008
322,-64592.637,-64592.637,-64592.836
323,-66194.852,-66194.852,-66194.766
324,-58887.789,-58887.789,-58887.996
325,-68708.383,-68708.383,-68708.422
326,-57187.090,-57187.090,-57187.113
327,-60614.551,-60614.551,-60614.512
328,-60443.266,-60443.266,-60443.285
329,-62311.961,-62311.961,-62312.230
330,-62396.617,-62396.617,-62396.680
331,-60009.707,-60009.707,-60009.668
332,-56077.305,-56077.305,-56077.219
333,-50669.090,-50669.090,-50669.250
334,-56312.605,-56312.605,-56312.473
335,-60669.867,-60669.867,-60669.938
336,-53610.875,-53610.875,-53610.938
337,-52355.801,-52355.801,-52355.973
338,-58132.762,-58132.762,-58132.656
339,-50641.301,-50641.301,-50641.453
340,-55894.188,-55894.188,-55894.250
341,-54784.871,-54784.871,-54784.797
342,-57650.367,-57650.367,-57650.102
343,-57684.363,-57684.363,-57684.383
344,-50313.727,-50313.727,-50313.613
345,-51842.191,-51842.191,-51842.230
346,-42474.020,-42474.020,-42474.074
347,-49145.020,-49145.020,-49145.176
348,-39604.699,-39604.699,-39604.656
349,-43581.473,-43581.473,-43581.520
350,-42683.520,-42683.520,-42683.535
351,-42845.602,-42845.602,-42845.477
352,-40302.926,-40302.926,-40303.051
353,-39476.590,-39476.590,-39476.539
354,-39001.129,-39001.129,-39001.109
355,-31110.873,-31110.873,-31110.814
356,-37562.066,-37562.066,-37562.039
357,-34166.812,-34166.812,-34166.969
358,-27200.943,-27200.943,-27200.998
359,-35182.035,-35182.035,-35182.023
360,-14576.163,-14576.163,-14576.145
361,-25242.689,-25242.689,-25242.781
362,-24715.037,-24715.037,-24715.053
363,-24674.055,-24674.055,-24673.938
364,-10146.928,-10146.928,-10146.970
365,-25873.525,-25873.525,-25873.486
366,-19353.758,-19353.758,-19353.812
367,-21107.586,-21107.586,-21107.389
368,-11271.677,-11271.677,-11271.769
369,-17747.924,-17747.924,-17747.930
370, -8686.353, -8686.353, -8686.367
371,-15498.084,-15498.084,-15498.105
372, -9750.341, -9750.341, -9750.328
373,   337.268,   337.268,   337.261
374, -3910.313, -3910.313, -3910.344
375, -1912.437, -1912.437, -1912.443
376, -3774.863, -3774.863, -3774.870
377, -9057.707, -9057.707, -9057.693
378,  7852.484,  7852.484,  7852.530
379, 11087.930, 11087.930, 11087.951
380,  4532.210,  4532.210,  4532.184
381, 12262.190, 12262.190, 12262.221
382,  7988.037,  7988.037,  7988.043
383, 14093.242, 14093.242, 14093.305
384,  3519.177,  3519.177,  3519.169
385, 15209.333, 15209.333, 15209.320
386, 11889.470, 11889.470, 11889.472
387, 13389.645, 13389.645, 13389.642
388, 26878.590, 26878.590, 26878.609
389, 19950.291, 19950.291, 19950.264
390, 28530.494, 28530.494, 28530.551
391, 30717.715, 30717.715, 30717.602
392, 28215.328, 28215.328, 28215.350
393, 31120.809, 31120.809, 31120.758
394, 26489.242, 26489.242, 26489.375
395, 33192.656, 33192.656, 33192.785
396, 29266.498, 29266.498, 29266.438
397, 29805.840, 29805.840, 29805.918
398, 27242.309, 27242.309, 27242.373
399, 29918.928, 29918.928, 29918.904
400, 31893.672, 31893.672, 31893.793
401, 44554.762, 44554.762, 44554.801
402, 41185.219, 41185.219, 41185.105
403, 37728.387, 37728.387, 37728.469
404, 44115.254, 44115.254, 44115.109
405, 41165.996, 41165.996, 41166.070
406, 62343.715, 62343.715, 62343.805
407, 44449.133, 44449.133, 44449.219
408, 36481.047, 36481.047, 36481.105
409, 48211.375, 48211.375, 48211.469
410, 48034.809, 48034.809, 48034.945
411, 54764.672, 54764.672, 54764.438
412, 42948.641, 42948.641, 42948.723
413, 48433.203, 48433.203, 48433.109
414, 66709.148, 66709.148, 66709.016
415, 51986.234, 51986.234, 51986.090
416, 58289.855, 58289.855, 58289.805
417, 59539.832, 59539.832, 59539.844
418, 58795.090, 58795.090, 58794.875
419, 60142.789, 60142.789, 60142.445
420, 65458.094, 65458.094, 65458.070
421, 58179.879, 58179.879, 58180.055
422, 53528.055, 53528.055, 53528.141
423, 74888.773, 74888.773, 74888.492
424, 58178.746, 58178.746, 58178.703
425, 63242.020, 63242.020, 63241.953
426, 67370.938, 67370.938, 67370.781
427, 58595.848, 58595.848, 58595.734
428, 65039.062, 65039.062, 65038.961
429, 67376.922, 67376.922, 67376.523
430, 55373.371, 55373.371, 55373.188
431, 54018.730, 54018.730, 54018.703
432, 69078.312, 69078.312, 69078.312
433, 58007.199, 58007.199, 58007.266
